cluster_idx,mean_separability,mean_mixture,best_separability,best_mixture,best_projection,pc1_variance,pc2_variance,pc3_variance,is_irreducible,irreducibility_score
2,0.8601242347945676,0.37832858472112446,1.048586797785228,0.4056171759602231,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,True,0.5347146503603987
12,0.8337254328245498,0.36272216396846657,0.837486034921187,0.3286807857467915,PC2-PC5,0.1978517323732376,0.14898070693016052,0.14154788851737976,True,0.5313147396748827
4,1.0054558941862901,0.5306619705721113,1.0046848338251197,0.43570199501454604,PC2-PC5,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.47189868805404916
9,0.8396107781214779,0.47424036334329306,1.186231526377808,0.5286274089770375,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.44143345763820324
11,0.5931033040213257,0.4824162252738766,0.6497184133056887,0.3931323896272707,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.30698064689789334
5,0.7292033520331547,0.584321223685062,0.7809585109823627,0.5172915468558518,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.3031143570578927
15,0.45948280967847116,0.44775786171209003,0.7584281713313582,0.4715596922463253,PC0-PC3,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.25374576932337567
1,0.4528150662657367,0.4641455215072661,0.6070019694870566,0.4830585755194563,PC0-PC3,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.2426429811874791
6,0.3233820874636307,0.4860437971230211,0.39011630275748416,0.4374342893684147,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.1662042297512387
10,0.18005259219764005,0.5074441845844545,0.20308080950025612,0.4636391956333285,PC0-PC3,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.08868595136759128
8,0.12831913071770004,0.4047479508159398,0.12831913071770004,0.33762670844550297,PC2-PC5,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.07638222550922824
7,0.1139291872798985,0.45802243519395675,0.19447581284668666,0.33633318198630124,PC2-PC5,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,0.06174706348229102
13,1.9418931168590484e-09,0.2890505031772727,1.9418931168590484e-09,0.2890505027749469,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,1.380587934314458e-09
14,1.9418931168590484e-09,0.2890505055708275,1.9418931168590484e-09,0.28905050161174334,PC0-PC3,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,1.3805879296664305e-09
3,1.8921009249330956e-09,0.28905050152513084,1.8921009249330956e-09,0.28905050095222273,PC1-PC4,0.1978517323732376,0.14898070693016052,0.14154788851737976,False,1.3451882036450204e-09
